,spp1,,spp2,,spp3,
pope.rom,244,0.48,265,0.39,265,0.22
bcc,422,7.58,425,4.25,425,2.99
t481,481,1442.36,481,154.99,481,128.73
luc,137,0.15,136,0.06,140,0.05
newtpla1,4,0,4,0,4,0
newapla1,11,0,11,0,11,0
con1,9,0,9,0,9,0
misj,48,0.03,48,0,48,0
test3,1424,11.42,1424,8.13,1424,6.55
log8mod,41,0.04,41,0.02,41,0.01
misex1,27,0.01,27,0,27,0
vtx1,110,20.85,110,1.22,110,1.1
newbyte,8,0,8,0,8,0
b10,149,21.65,160,0.87,159,0.45
shift,105,0.04,105,0.01,105,0.01
dk48,26,0.05,26,0.03,26,0.03
bench1,181,0.52,181,0.37,181,0.3
max128,152,0.66,165,0.76,165,0.39
cordic,61,584.06,61,185.73,61,22.01
ex1010,519,5.61,519,4.05,519,3.2
misex3,801,447.12,852,40.83,855,46.84
table3,388,11.5,389,3.01,389,2.11
wim,22,0,22,0,22,0
table5,406,94.86,417,4.49,417,2.94
co14,7,0.04,7,0.02,7,0.02
x9dn,120,21.29,120,1.46,120,1.35
in5,171,19.42,172,0.78,172,0.73
lin.rom,357,1.31,369,1.07,369,0.58
newapla,27,0.3,27,0.01,27,0.01
radd,44,0.18,46,0.09,46,0.06
x1dn,110,21.96,110,1.24,110,1.12
mp2d,67,1.83,70,0.13,70,0.05
b11,45,0.01,45,0.01,45,0.01
alu4,725,491.06,751,44.65,752,52.18
misex2,29,0,29,0,29,0
prom1,1618,48.96,1742,24.58,1742,14.26
root,58,0.92,66,0.63,66,0.34
AVERAGE,180.22,57.02,189.03,8,189.05,4.3
